x,y,frame,gaussian_sigma,gaussian_filer,rf_filer,nn_filer,area
46.46666666666667,54.13333333333333,10,2.0281611686908683,,,,15.0
47.4375,52.75,12,0.6622547206131286,,,1,16.0
49.125,53.375,13,3.9817058898358964,,,,16.0
49.4,52.0,15,0.27019857674655606,,,,15.0
48.13333333333333,53.53333333333333,20,0.9272663614864252,,,1,15.0
48.588235294117645,54.64705882352941,29,1.588096619610331,,1,,17.0
48.75,54.8125,30,0.6698013964907735,,,,16.0
49.5,57.5,31,1.0812198377851878,,,,16.0
48.88235294117647,56.470588235294116,33,0.9405013534555255,,1,,17.0
47.5,58.25,34,0.7958897724879083,,,,16.0
46.5,57.5,35,1.195882599219317,,,,16.0
45.5,56.5,36,0.628439424428701,,,,16.0
45.22222222222222,58.5,37,0.9916007944082752,,,,18.0
45.15,57.65,38,1.2159058052511968,,,,20.0
45.75,58.8125,39,0.892655354913078,,1,,16.0
44.25,56.5,40,0.706500614499769,,,,16.0
44.1875,56.75,41,2.1876911489927333,,,,16.0
46.57142857142857,57.476190476190474,42,1.1251799581958033,,,,21.0
44.526315789473685,56.0,43,1.665365010922475,,,1,19.0
46.0,54.833333333333336,44,1.2018984492566185,,,1,12.0
47.13333333333333,57.13333333333333,45,0.90662038068507,,,1,15.0
46.95,56.7,46,1.5134629853695833,,,,20.0
46.8421052631579,55.8421052631579,47,1.1023965980338872,,,,19.0
47.8235294117647,56.1764705882353,48,1.0005418217842226,,,,17.0
47.65,57.85,49,1.2386878076694317,,,,20.0
47.25,57.4375,50,0.8305724408749426,,,,16.0
47.6,56.4,51,0.6117661927821616,,,,15.0
46.89473684210526,55.473684210526315,52,,1,,1,19.0
47.86666666666667,55.4,53,0.9256703884436652,,,,15.0
47.588235294117645,55.64705882352941,54,1.055417795660376,,,,17.0
48.76470588235294,55.94117647058823,55,1.6925147494662207,,,,17.0
47.8125,56.3125,56,0.5897694927319649,,,,16.0
46.6875,55.8125,57,0.9557495712605261,,,,16.0
49.0,56.0,58,0.9726884650456592,,,,17.0
47.75,54.333333333333336,59,0.2587761953079065,,,1,12.0
48.285714285714285,54.785714285714285,61,0.9499256617376286,,,1,14.0
48.578947368421055,54.421052631578945,63,2.2467888861784506,,,,19.0
49.25,55.5,64,1.4948329769100903,,,,16.0
49.705882352941174,54.11764705882353,65,3.359895438249844,,,1,17.0
50.76470588235294,51.94117647058823,87,0.7495155193456665,,,1,17.0
45.1875,54.6875,94,0.9974676972776455,,,,16.0
51.0,54.0,103,0.5586996243216965,,,1,17.0
46.642857142857146,55.92857142857143,106,1.0775001489461469,,,,14.0
48.0,56.0,107,1.2713940910749524,,,,17.0
46.53333333333333,53.86666666666667,108,1.0725641378795283,,,,15.0
46.65,52.85,109,0.5785136785919206,,,,20.0
45.8125,53.3125,110,1.184536577015011,,,,16.0
45.3125,52.1875,111,1.2004750905830859,,,,16.0
45.6875,51.8125,112,0.9288435084429878,,,1,16.0
45.86666666666667,53.0,113,1.7143526842903265,,,,15.0
45.3125,51.1875,114,0.7538893579375217,,,,16.0
45.36842105263158,53.526315789473685,115,1.0530651548569354,,,,19.0
44.714285714285715,53.42857142857143,116,0.8360206061529696,,,,21.0
44.1875,54.6875,117,2.0474045757194013,,,,16.0
44.6875,53.8125,118,2.7422374744109854,,,,16.0
44.6875,53.8125,119,0.7914243883855141,,,1,16.0
44.94444444444444,52.888888888888886,120,0.9924026486471784,,,,18.0
44.85,53.35,121,1.6479649608100044,,,,20.0
43.5,53.5,122,0.953026686858087,,,,16.0
44.10526315789474,52.526315789473685,123,1.2837655392458882,,,1,19.0
45.1875,52.6875,124,1.2898253102441408,,,,16.0
43.5625,53.25,125,1.408917670822881,,,,16.0
45.5,52.45,126,1.3700110172766886,,,1,20.0
46.25,54.4375,127,1.2164389367827955,,,,16.0
45.25,53.55,128,1.287530272076147,,,,20.0
45.6875,53.8125,129,0.9509461199707012,,,,16.0
